id,train_name,src,dest,train_type,pantry_avl
22210,New Delhi Mumbai Central DURONTO,NDLS,MMCT,DUR,1
22908,Hapa Madgaon MADGAON SUPERFAST,HAPA,MAO,SF,0
53181,Sealdah Lalgola LALGOLA PASSENGER,SDAH,LGL,PASS,0
16865,Chennai Egmore Thanjavur UZHAVAN EXPRESS,MS,TJ,EXP,0
12057,New Delhi Una Himachal JAN SHATABDI,NDLS,UHL,JSTBDI,0
15273,RAXAUL JN DELHI SATYAGRAH EXPRESS,RXL,ANVT,EXP,0
11123,Barauni Jn Gwalior Jn MAIL,GWL,BJU,EXP,0
22402,Udhampur Delhi S Rohilla AC SUPERFAST,UHP,DEE,SF,0
22150,Pune Jn Ernakulam Jn SUPERFAST EXPRESS,PUNE,ERS,SF,1
15232,Gondia Jn Barauni Jn GONDIA EXPRESS,G,BJU,EXP,0
