train_id,trip_no
22210,2
22210,6
22908,3
53181,1
53181,2
53181,3
53181,4
53181,5
53181,6
53181,7
16865,1
16865,2
16865,3
16865,4
16865,5
16865,6
16865,7
12057,1
12057,2
12057,3
12057,4
12057,5
12057,6
12057,7
15273,1
15273,2
15273,3
15273,4
15273,5
15273,6
15273,7
11123,1
11123,2
11123,3
11123,4
11123,5
11123,6
11123,7
22402,2
22402,4
22402,7
22150,3
22150,7
15232,1
15232,2
15232,3
15232,4
15232,5
15232,6
15232,7
13416,1
13416,4
13416,6
14038,4
16574,6
12360,3
12360,5
12360,7
04602,1
04602,2
04602,3
04602,4
04602,5
04602,6
04602,7
04410,1
04410,2
04410,3
04410,4
04410,5
04410,6
04410,7
12986,1
12986,2
12986,3
12986,4
12986,5
12986,6
12986,7
15635,5
15648,2
19301,7
13064,1
13064,2
13064,3
13064,4
13064,5
18201,3
18201,5
22627,1
22627,2
22627,3
22627,4
22627,5
22627,6
22627,7
12621,1
12621,2
12621,3
12621,4
12621,5
12621,6
12621,7
04502,1
04502,2
04502,3
04502,4
04502,5
04502,6
04502,7
16053,1
16053,2
16053,3
16053,4
16053,5
16053,6
16053,7
14711,1
14711,2
14711,3
14711,4
14711,5
14711,6
14711,7
22847,7
12804,3
12804,7
12009,1
12009,2
12009,3
12009,4
12009,5
12009,6
16231,1
16231,2
16231,3
16231,4
16231,5
16231,6
16231,7
12371,1
12620,1
12620,2
12620,3
12620,4
12620,5
12620,6
12620,7
12554,1
12554,2
12554,3
12554,4
12554,5
12554,6
12554,7
11703,2
11703,4
11703,7
04701,1
04701,2
04701,3
04701,4
04701,5
04701,6
04701,7
12274,2
12274,6
12990,3
12990,5
12990,7
12588,6
14616,6
19414,6
12225,1
12225,2
12225,3
12225,4
12225,5
12225,6
12225,7
19034,1
19034,2
19034,3
19034,4
19034,5
19034,6
19034,7
17019,2
17064,1
17064,2
17064,3
17064,4
17064,5
17064,6
17064,7
12791,1
12791,2
12791,3
12791,4
12791,5
12791,6
12791,7
15644,4
16533,3
13186,1
13186,2
13186,3
13186,4
13186,5
13186,6
13186,7
13281,1
16779,1
16779,5
16779,6
14853,1
14853,3
14853,6
13166,7
12635,1
12635,2
12635,3
12635,4
12635,5
12635,6
12635,7
12445,1
12445,2
12445,3
12445,4
12445,5
12445,6
12445,7
12350,2
12828,1
12828,2
12828,3
12828,4
12828,5
12828,6
12828,7
12622,1
12622,2
12622,3
12622,4
12622,5
12622,6
12622,7
19329,1
19329,2
19329,3
19329,4
19329,5
19329,6
19329,7
16589,1
16589,2
16589,3
16589,4
16589,5
16589,6
16589,7
22131,1
13114,1
13114,2
13114,3
13114,4
13114,5
13114,6
13114,7
12196,1
12196,2
12196,3
12196,4
12196,5
12196,6
12196,7
12346,1
12346,2
12346,3
12346,4
12346,5
12346,6
12346,7
11061,1
11061,2
11061,3
11061,4
11061,5
11061,6
11061,7
12750,1
12750,2
12750,3
12750,4
12750,5
12750,6
12750,7
12520,4
12535,1
12535,4
19408,6
22883,5
22620,7
15716,1
15716,2
15716,4
17221,3
17221,6
12970,2
12055,1
12055,2
12055,3
12055,4
12055,5
12055,6
12055,7
22863,1
15055,2
15055,5
15055,7
12291,5
13483,2
13483,3
13483,5
13483,7
22845,1
22845,5
19608,1
12411,1
12411,2
12411,3
12411,4
12411,5
12411,6
12411,7
19224,1
19224,2
19224,3
19224,4
19224,5
19224,6
19224,7
19610,2
19610,5
19610,7
14631,1
14631,2
14631,3
14631,4
14631,5
14631,6
14631,7
12382,1
12382,2
12382,5
12228,5
12228,7
12558,1
12558,2
12558,3
12558,4
12558,5
12558,6
12558,7
12783,7
16535,1
16535,2
16535,3
16535,4
16535,5
16535,6
16535,7
12539,3
18048,2
18048,4
18048,5
18048,7
12077,1
12077,3
12077,4
12077,5
12077,6
12077,7
12985,1
12985,2
12985,3
12985,4
12985,5
12985,6
12985,7
11464,2
11464,3
11464,4
11464,6
11464,7
12223,2
12223,6
12128,1
12128,2
12128,3
12128,4
12128,5
12128,6
12128,7
15052,4
15661,3
22187,1
22187,2
22187,3
22187,4
22187,5
22187,6
22187,7
22611,3
12839,1
12839,2
12839,3
12839,4
12839,5
12839,6
12839,7
18234,1
18234,2
18234,3
18234,4
18234,5
18234,6
18234,7
22113,2
22113,6
15029,4
17411,1
17411,2
17411,3
17411,4
17411,5
17411,6
17411,7
12032,4
14003,2
14003,6
15013,1
15013,2
15013,3
15013,4
15013,5
15013,6
15013,7
12636,1
12636,2
12636,3
12636,4
12636,5
12636,6
12636,7
22884,6
14220,1
14220,2
14220,3
14220,4
14220,5
14220,6
19052,1
12435,1
12435,5
15903,1
12367,1
12367,2
12367,3
12367,4
12367,5
12367,6
12367,7
12827,1
12827,2
12827,3
12827,4
12827,5
12827,6
12827,7
22484,2
22484,4
22484,7
12273,1
12273,5
12591,6
18241,1
18241,2
18241,3
18241,4
18241,5
18241,6
18241,7
11009,1
11009,2
11009,3
11009,4
11009,5
11009,6
11009,7
12424,1
12424,2
