id,train_name,src,dest,train_type,pantry_avl
22210,New Delhi Mumbai Central DURONTO,NDLS,MMCT,DUR,1
22908,Hapa Madgaon MADGAON SUPERFAST,HAPA,MAO,SF,0
53181,Sealdah Lalgola LALGOLA PASSENGER,SDAH,LGL,PASS,0
16865,Chennai Egmore Thanjavur UZHAVAN EXPRESS,MS,TJ,EXP,0
12057,New Delhi Una Himachal JAN SHATABDI,NDLS,UHL,JSTBDI,0
15273,RAXAUL JN DELHI SATYAGRAH EXPRESS,RXL,ANVT,EXP,0
11123,Barauni Jn Gwalior Jn MAIL,GWL,BJU,EXP,0
22402,Udhampur Delhi S Rohilla AC SUPERFAST,UHP,DEE,SF,0
22150,Pune Jn Ernakulam Jn SUPERFAST EXPRESS,PUNE,ERS,SF,1
15232,Gondia Jn Barauni Jn GONDIA EXPRESS,G,BJU,EXP,0
13416,Patna Jn Malda Town EXPRESS,PNBE,MLDT,EXP,0
14038,NDLS SCL PSK EXP,NDLS,SCL,EXP,0
16574,PUDUCHERRY YESVANTPUR JN YESVANTPUR EXPRESS,PDY,YPR,EXP,1
12360,Patna Jn Kolkata KOL GARIB RATH,PNBE,KOAA,GR,0
04602,JDNX PTK SPL,JDNX,PTK,SPL,0
04410,SSB-PWL EMU MEXP SPL,SSB,PWL,SPL,0
12986,Delhi S Rohilla Jaipur Jn DOUBLE DECKER,DEE,JP,ICE,0
15635,Okha Guwahati GUWAHATI EXPRESS,OKHA,GHY,EXP,1
15648,Guwahati Lokmanyatilak EXPRESSS,GHY,LTT,EXP,1
19301,Indore Jn Bg Yasvantpur Jn YESHVANTPUR EXPRESS,DADN,YPR,EXP,1
13064,Balurghat Howrah Jn EXPRESS,BLGT,HWH,EXP,0
18201,DURG NAUTANWA EXPRESS,DURG,NTV,EXP,0
22627,Tiruchchirappalli Jn Thiruvananthapuram Central EXPRESS,TPJ,TVC,ICE,0
12621,Chennai Central New Delhi TAMIL NADU EXPRESS,MAS,NDLS,SF,1
04502,UHL-SRE MEX SPL,UHL,SRE,SPL,0
16053,Chennai Central Tirupati TIRUPATHI EXPRESS,MAS,TPTY,ICE,0
14711,Haridwar Jn Shri Ganganagar EXPRESS,HW,SGNR,ICE,0
22847,Visakhapatnam Lokmanyatilak EXPRESS,VSKP,LTT,SF,0
12804,Hazrat Nizamuddin Visakhapatnam SWARNA JAYANTI EXPRESS,NZM,VSKP,SF,1
12009,Mumbai Central Ahmedabad Jn SHATABDI EXPRESS,MMCT,GNC,STBDI,0
16231,Mayiladuturai Jn Mysore Jn MYSORE EXPRESS,MV,MYS,EXP,0
12371,HOWRAH JN JAISALMER EXPRESS,HWH,BKN,SF,1
12620,Mangalore Central Lokmanyatilak MATSYAGANDA EXPRESS,MAQ,LTT,SF,0
12554,New Delhi Barauni Jn VAISHALI EXPRESS,NDLS,SHC,SF,1
11703,REWA DR AMBEDKAR NGR (MHOW) INDB EXPRESS,REWA,DADN,EXP,0
04701,BTI LGH SPL,BTI,LGH,SPL,0
12274,New Delhi Howrah Jn DURONTO EXPRESS,NDLS,HWH,DUR,1
12990,Ajmer Jn Dadar Wr  EXPRESS,AII,DDR,SF,0
12588,Jammu Tawi Gorakhpur JAMMU EXPRESS,JAT,GKP,SF,1
14616,Amritsar Jn Lal Kuan EXPRESS,ASR,LKU,EXP,0
19414,KOLKATA AHMEDABAD JN EXPRESS,KOAA,ADI,EXP,0
12225,Azamgarh Delhi KAIFIYAT EXPRESS,AMH,DLI,SF,0
19034,Ahmedabad Jn Valsad GUJARAT QUEEN,ADI,BL,ICE,0
17019,JAIPUR JN HYDERABAD DECCAN EXPRESS,JP,HYB,EXP,1
17064,Secunderabad Jn Manmad Jn AJANTA EXPRESS,SC,MMR,EXP,1
12791,Secunderabad Jn Danapur EXPRESS,SC,DNR,SF,1
15644,Kamakhya Jn Puri EXPRESS,KYQ,PURI,EXP,0
16533,Bhagat Ki Kothi Ksr Bengaluru EXPRESS,JU,SBC,EXP,1
13186,Jaynagar Sealdah GANGA SAGAR EXPRESS,JYG,SDAH,EXP,0
13281,New Tinsukia Rajendranagar T EXPRESS,DBRG,RJPB,EXP,1
16779,TIRUPATI RAMESWARAM EXPRESS,TPTY,RMM,EXP,0
14853,Varanasi Jn Jodhpur Jn MARUDHAR EXPRESS,BSB,JU,EXP,0
13166,Sitamarhi Kolkata EXPRESS,SMI,KOAA,EXP,0
12635,Chennai Egmore Madurai Jn VAIGAI EXPRESS,MS,MDU,ICE,1
12445,New Delhi Shmata Vd Katra UTTAR SAMPARK KRANTI,NDLS,SVDK,EXP,0
12350,New Delhi Bhagalpur EXPRESS,NDLS,GODA,SF,0
12828,Purulia Jn Howrah Jn EXPRESS,PRR,HWH,ICE,0
12622,New Delhi Chennai Central TAMIL NADU EXPRESS,NDLS,MAS,SF,1
19329,Indore Jn Bg Udaipur City VEER BHUMI EXPRESS,INDB,UDZ,EXP,0
16589,Ksr Bengaluru C Sahumaharaj T Kolhapur RANI CHENNAMMA EXPRESS,SBC,MRJ,EXP,0
22131,Pune Jn Manduadih GYAN GANGA EXPRESS,PUNE,BSBS,SF,1
13114,Lalgola Kolkata HAZARDUARI EXPRESS,LGL,KOAA,ICE,0
12196,Ajmer Jn Agra Fort INTERCITY,AII,AF,ICE,0
12346,Guwahati Howrah Jn SARAIGHAT EXPRESS,GHY,HWH,SF,1
11061,Lokmanyatilak Darbhanga Jn DARBHANGA EXPRESS,LTT,JYG,EXP,1
12750,BIDR MTM SF EXP,BIDR,MTM,SF,0
12520,Kamakhya Jn Lokmanyatilak AC EXPRESS,KYQ,LTT,SF,1
12535,Lucknow Ne Raipur Jn GARIBRATH,LJN,R,GR,0
19408,Varanasi Jn Ahmedabad Jn EXPRESS,BSB,ADI,EXP,0
22883,Puri Yasvantpur Jn GARIB RATH,PURI,YPR,GR,0
22620,Tirunelveli Bilaspur Jn BILASPUR EXPRESS,TEN,BSP,SF,0
15716,Ajmer Jn Kishanganj GARIB NAWAJ EXPRESS,AII,KNE,EXP,0
17221,Kakinada Port Lokmanyatilak  EXPRESS,COA,LTT,EXP,0
12970,Jaipur Jn Coimbatore Jn SUPERFAST EXPRESS,JP,CBE,SF,1
12055,New Delhi Dehradun JAN SHATABDI,NDLS,DDN,JSTBDI,0
22863,Howrah Jn Yasvantpur Jn AC EXPRESS,HWH,YPR,SF,1
15055,Agra Fort Ramnagar EXPRESS,AF,RMR,EXP,0
12291,Yasvantpur Jn Chennai Central CHENNAI EXPRESS,YPR,MAS,SF,1
13483,Malda Town Delhi FARAKKA EXPRESS,MLDT,DLI,EXP,1
22845,Pune Jn Hatia HATIA SUPERFAST,HTE,PUNE,SF,0
19608,Ajmer Jn Kolkata EXPRESS,MDJN,KOAA,EXP,0
12411,Chandigarh Amritsar Jn INTERCITY EXPRESS,CDG,ASR,ICE,0
19224,Jammu Tawi Ahmedabad Jn EXPRESS,JAT,ADI,MAIL,0
19610,HW UDZ  EXP,YNRK,UDZ,EXP,0
14631,Dehradun Amritsar Jn EXPRESS,DDN,ASR,EXP,0
12382,New Delhi Howrah Jn POORVA EXPRESS,NDLS,HWH,SPL,1
12228,INDORE JN BG MUMBAI CENTRAL MUMBAI DURONTO,INDB,MMCT,DUR,1
12558,Anand Vihar Terminal Muzaffarpur Jn SAPT KRANTI EXPRESS,ANVT,MFP,SF,1
12783,Visakhapatnam Secunderabad Jn AC EXPRESS,VSKP,SC,SF,0
16535,Mysore Jn Solapur Jn GOLGUMBAZ EXPRESS,MYS,SUR,EXP,0
12539,YASVANTPUR JN LUCKNOW LUCKNOW EXPRESS,YPR,LKO,SF,0
18048,Vasco Da Gama Kacheguda HOWRAH EXPRESS,VSG,SHM,EXP,0
12077,Chennai Central Vijayawada Jn JAN SHATABDI,MAS,BZA,JSTBDI,0
12985,Jaipur Jn Delhi S Rohilla DOUBLE DECKER,JP,DEE,ICE,0
11464,JABALPUR SOMNATH SOMNATH EXPRESS,JBP,SMNH,EXP,0
12223,Lokmanyatilak Ernakulam Jn DURONTO,LTT,ERS,DUR,1
12128,Pune Jn Mumbai Cst INTERCITY EXPRESS,PUNE,CSMT,ICE,0
15052,Gorakhpur Kolkata KOLKATA EXPRESS,GKP,KOAA,EXP,0
15661,RANCHI KAMAKHYA JN  EXPRESS,RNC,KYQ,EXP,0
22187,Habibganj Jabalpur INTERCITY EXPRESS,RKMP,ADTL,ICE,0
22611,Chennai Central New Jalpaiguri EXPRESS,MAS,NJP,SF,0
12839,Howrah Jn Chennai Central MAIL,HWH,MAS,SF,1
18234,Bilaspur Jn Indore Jn Bg NARMADA EXPRESS PASSENGER,BSP,INDB,MAIL,0
22113,Lokmanyatilak Kochuveli EXPRESS,LTT,KCVL,SF,0
15029,Gorakhpur Pune Jn EXPRESS,GKP,PUNE,EXP,0
17411,Mumbai Cst C Sahumaharaj T Kolhapur MAHALAXMI EXPRESS,CSMT,KOP,EXP,0
12032,Amritsar Jn New Delhi AMRITSAR SHATABDI,ASR,NDLS,STBDI,0
14003,Malda Town New Delhi EXPRESS,MLDT,NDLS,EXP,0
15013,Jaisalmer Ramnagar RANIKHET EXPRESS,JSM,KGM,EXP,0
12636,Madurai Jn Chennai Egmore VAIGAI EXPRESS,MDU,MS,ICE,1
22884,Yasvantpur Jn Puri GARIB RATH,YPR,PURI,GR,0
14220,Lucknow Varanasi Jn EXPRESS,LKO,BSB,ICE,0
19052,Muzaffarpur Jn Valsad SHRAMIK EXPRESS,MFP,BL,EXP,0
12435,JYG ANVT G RATH,JYG,ANVT,GR,0
15903,Dibrugarh Chandigarh EXPRESS,DBRG,CDG,EXP,1
12367,Bhagalpur Anand Vihar Terminal VIKRAMSHILA EXPRESS,BGP,ANVT,SF,1
12827,Howrah Jn Purulia Jn EXPRESS,HWH,PRR,ICE,0
22484,Gandhidham Jn Jodhpur Jn JODHPUR EXPRESS,GIMB,JU,SF,0
12273,Howrah Jn New Delhi DURONTO,HWH,NDLS,DUR,1
12591,GORAKHPUR YASVANTPUR JN EXPRESS,GKP,YPR,SF,1
18241,Durg Ambikapur EXPRESS PASSENGER,DURG,ABKP,MAIL,0
11009,Mumbai Cst Pune Jn SINHAGAD EXPRESS,CSMT,PUNE,ICE,0
12424,New Delhi Dibrugarh Town RAJDHANI,NDLS,DBRG,RAJ,1
14209,Prayag Jn Lucknow INTRCTY,PYGS,LKO,ICE,0
12285,Secunderabad Jn Hazrat Nizamuddin DURONTO  EXPRESS,SC,NZM,DUR,1
12284,Hazrat Nizamuddin Ernakulam Jn DURONTO,NZM,ERS,DUR,1
15666,DIMAPUR KAMAKHYA JN B G EXPRESS,MXN,GHY,EXP,0
11450,Shmata Vd Katra Jabalpur EXPRESS,SVDK,JBP,EXP,1
14525,Ambala Cant Jn Shri Ganganagar INTERCITY,UMB,SGNR,ICE,0
12742,Patna Jn Vasco Da Gama EXPRESS,PNBE,VSG,SF,0
14312,Bhuj Bareilly ALA HAZRAT EXPRESS,BHUJ,BE,EXP,0
12852,Chennai Central Bilaspur Jn BILASPUR EXPRESS,MAS,BSP,SF,1
12623,Chennai Central Thiruvananthapuram Central TRIVANDRUM MAIL,MAS,TVC,SF,0
12577,Darbhanga Jn Mysore Jn BAGMATI EXPRESS,DBG,MYS,SF,1
14114,Dehradun Allahabad Jn LINK EXPRESS,DDN,SFG,MAIL,0
12918,HAZRAT NIZAMUDDIN AHMEDABAD JN GUJRAT SAMPARK KRANTI EXPRESS,NZM,ADI,EXP,1
17609,Patna Jn Purna Jn  EXPRESS,PNBE,PAU,EXP,1
22351,Patliputra Yasvantpur Jn EXPRESS,PPTA,YPR,SF,0
12509,Bengaluru Cant Guwahati GUWAHATI EXPRESS,BNC,GHY,SF,1
12660,Shalimar Nagarcoil Jn GURUDEV EXPRESS,SHM,NCJ,SF,0
12694,Tuticorin Chennai Egmore PEARL CITY EXPRESS,TN,MS,SF,0
17001,Sainagar Shirdi Secunderabad Jn EXPRESS,SNSI,SC,EXP,0
12673,Chennai Central Coimbatore Jn CHERAN EXPRESS,MAS,CBE,SF,0
13245,New Jalpaiguri Rajendranagar T CAPITAL EXPRESS,NJP,RJPB,EXP,0
22413,MADGAON HAZRAT NIZAMUDDIN RAJDHANI,MAO,NZM,RAJ,1
11271,ITARSI JN BHOPAL JN VINDHYACHAL EXPRESS,ET,BPL,EXP,0
22119,MUMBAI CST KARMALI TEJAS EXPRESS,CSMT,KRMI,STBDI,0
22682,Chennai Central Mysore Jn MYSORE EXPRESS,MAS,MYS,SF,0
12477,Jamnagar Shmata Vd Katra EXPRESS,JAM,SVDK,SF,1
16352,Nagarcoil Jn Mumbai Cst MUMBAI EXPRESS,NCJ,CSMT,EXP,1
22634,Hazrat Nizamuddin Thiruvananthapuram Central SUPERFAST EXPRESS,NZM,TVC,SF,0
12311,Howrah Jn Kalka DELHI MAIL,HWH,KLK,SF,1
11449,Jabalpur Shmata Vd Katra EXPRESS,JBP,SVDK,EXP,1
12882,Puri Howrah Jn GARIB RATH,PURI,SHM,GR,0
14216,Lucknow Allahabad Jn GANGA GOMTI EXPRESS,LKO,PYGS,ICE,0
12378,New Alipurduar Sealdah PADATIK EXPRESS,NOQ,SDAH,SF,0
12201,Lokmanyatilak Kochuveli GARIB RATH,LTT,KCVL,GR,0
12738,Secunderabad Jn Kakinada Port GOUTAMI EXPRESS,LPI,COA,SF,0
22401,Delhi S Rohilla Udhampur AC SUPERFAST,DEE,UHP,SF,0
12912,Haridwar Jn Valsad SUPERFAST EXPRESS,HW,BL,SF,0
11040,Gondia Jn C Sahumaharaj T Kolhapur MAHARASHTRA EXPRESS,G,KOP,EXP,0
11039,C Sahumaharaj T Kolhapur Gondia Jn MAHARASHTRA EXPRESS,KOP,G,EXP,0
22633,Thiruvananthapuram Central Hazrat Nizamuddin NIZAMUDDIN EXPRESS,TVC,NZM,SF,0
16613,Rajkot Jn Coimbatore Jn COIMBATORE EXPRESS,RJT,CBE,EXP,0
22806,Anand Vihar Terminal Bhubaneswar SUPERFAST,ANVT,BBS,SF,1
12306,New Delhi Howrah Jn KOLKATA  RAJDHANI,NDLS,HWH,RAJ,1
12231,LUCKNOW CHANDIGARH EXPRESS,LKO,CDG,SF,0
22917,Bandra Terminus Haridwar Jn HARIDWAR EXPRESS,BDTS,HW,SF,0
11022,Tirunelveli Dadar CHALUKYA  EXPRESS,TEN,DR,EXP,0
12430,New Delhi Lucknow AC SUPERFAST,NDLS,LKO,SF,0
12164,MAS LTT EXPRESS,MAS,LTT,SF,1
19568,Okha Tuticorin VIVEK EXPRESS,OKHA,TN,EXP,0
12540,Lucknow Yasvantpur Jn SUPERFAST EXPRESS,LKO,YPR,SF,0
12434,HAZRAT NIZAMUDDIN CHENNAI CENTRAL CHENNAI RAJDHANI,NZM,MAS,RAJ,1
19168,Varanasi Jn Ahmedabad Jn SABARMATI EXPRESS,BSB,ADI,MAIL,0
22455,Sainagar Shirdi Kalka SUPERFAST EXPRESS,SNSI,KLK,SF,0
12314,New Delhi Sealdah SEALDAH RAJDHANI,NDLS,SDAH,RAJ,1
21125,RTM  BHIND EXP,RTM,BIX,EXP,0
15028,Gorakhpur Hatia MAURYA EXPRESS,GKP,HTE,EXP,0
15104,Manduadih Gorakhpur INTERCITY,BSBS,GKP,ICE,0
12964,Udaipur City Hazrat Nizamuddin MEWAR EXPRESS,UDZ,NZM,SF,0
12643,THIRUVANANTHAPURAM CENTRAL HAZRAT NIZAMUDDIN NIZAMUDDIN EXPRESS,TVC,NZM,SF,1
19574,Jaipur Jn Okha EXPRESS,JP,OKHA,EXP,0
12849,Bilaspur Jn Pune Jn SUPERFAST EXPRESS,BSP,PUNE,SF,0
